ad_id,adset_id,campaign_id,campaign_name,adset_name,date_start,date_stop,publisher_platform,platform_position,impressions,clicks,spend,conversions,utm_campaign
1000,3000,2000,Assurance_Santé,"Tous 30-50, Mutuelle famille",2025-04-15,2025-04-15,facebook,story,1822,25,169.85,8,assurance_santé
1001,3001,2001,Auto_Responsable,"Homme 30-45, assurance électrique",2025-03-24,2025-03-24,facebook,marketplace,4678,122,177.31,18,auto_responsable
1002,3002,2002,Pack_Jeunes,"Apprentis, 16-20",2025-04-16,2025-04-16,audience_network,right_hand_column,2232,68,104.15,16,pack_jeunes
1003,3003,2003,Assurance_Santé,"Hommes 50-65, Mutuelle retraite",2025-03-23,2025-03-23,instagram,story,2561,165,251.09,18,assurance_santé
1004,3004,2004,Assurance_Santé,"Tous 30-50, Mutuelle famille",2025-03-24,2025-03-24,audience_network,marketplace,3652,277,39.68,21,assurance_santé
1005,3005,2005,Pack_Jeunes,"Apprentis, 16-20",2025-04-10,2025-04-10,facebook,story,3583,57,87.78,3,pack_jeunes
1006,3006,2006,Pack_Jeunes,"Étudiants, 18-25",2025-04-01,2025-04-01,audience_network,marketplace,3947,27,196.22,9,pack_jeunes
1007,3007,2007,Assurance_Santé,"Femmes 45-60, Complémentaire santé",2025-03-18,2025-03-18,audience_network,marketplace,1488,156,158.97,46,assurance_santé
1008,3008,2008,Auto_Responsable,"Homme 30-45, assurance électrique",2025-04-08,2025-04-08,audience_network,right_hand_column,2320,288,86.93,15,auto_responsable
1009,3009,2009,Leads_Immobilier,"Couples 30-40, Achat résidence",2025-03-20,2025-03-20,messenger,feed,1762,34,41.98,1,leads_immobilier
1010,3010,2010,Leads_Immobilier,"Hommes 35-44, Investissement locatif",2025-03-23,2025-03-23,instagram,marketplace,2597,205,277.56,35,leads_immobilier
1011,3011,2011,Protection_Habitation,Propriétaires maison,2025-03-18,2025-03-18,audience_network,feed,3890,117,130.71,10,protection_habitation
1012,3012,2012,Protection_Habitation,Propriétaires maison,2025-03-22,2025-03-22,instagram,right_hand_column,1312,33,156.88,7,protection_habitation
1013,3013,2013,Leads_Immobilier,"Hommes 35-44, Investissement locatif",2025-04-07,2025-04-07,facebook,feed,4590,189,234.39,50,leads_immobilier
1014,3014,2014,Leads_Immobilier,"Hommes 35-44, Investissement locatif",2025-04-15,2025-04-15,instagram,feed,1913,86,286.45,10,leads_immobilier
1015,3015,2015,Leads_Immobilier,"Femmes 25-34, Immobilier",2025-03-20,2025-03-20,facebook,story,4287,230,74.8,27,leads_immobilier
1016,3016,2016,Protection_Habitation,Locataires citadins,2025-04-02,2025-04-02,instagram,marketplace,2028,242,140.0,26,protection_habitation
1017,3017,2017,Protection_Habitation,Locataires citadins,2025-04-07,2025-04-07,audience_network,story,4592,256,284.75,51,protection_habitation
1018,3018,2018,Leads_Immobilier,"Couples 30-40, Achat résidence",2025-04-02,2025-04-02,messenger,story,4795,91,229.95,25,leads_immobilier
1019,3019,2019,Assurance_Santé,"Tous 30-50, Mutuelle famille",2025-03-17,2025-03-17,audience_network,marketplace,2208,88,50.07,5,assurance_santé
1020,3020,2020,Leads_Immobilier,"Femmes 25-34, Immobilier",2025-03-23,2025-03-23,audience_network,right_hand_column,3772,10,29.78,0,leads_immobilier
1021,3021,2021,Pack_Jeunes,"Apprentis, 16-20",2025-04-08,2025-04-08,audience_network,story,2117,80,87.46,17,pack_jeunes
1022,3022,2022,Leads_Immobilier,"Femmes 25-34, Immobilier",2025-03-27,2025-03-27,facebook,story,713,265,295.8,9,leads_immobilier
1023,3023,2023,Auto_Responsable,"Homme 30-45, assurance électrique",2025-03-24,2025-03-24,instagram,right_hand_column,2387,79,148.42,0,auto_responsable
1024,3024,2024,Leads_Immobilier,"Couples 30-40, Achat résidence",2025-04-06,2025-04-06,instagram,story,4709,237,36.21,20,leads_immobilier
1025,3025,2025,Assurance_Santé,"Tous 30-50, Mutuelle famille",2025-03-20,2025-03-20,messenger,marketplace,747,152,63.64,49,assurance_santé
1026,3026,2026,Auto_Responsable,"Tous 30-40, voiture hybride",2025-03-20,2025-03-20,messenger,marketplace,4078,204,164.04,24,auto_responsable
1027,3027,2027,Leads_Immobilier,"Hommes 35-44, Investissement locatif",2025-04-08,2025-04-08,audience_network,right_hand_column,4679,269,69.36,3,leads_immobilier
1028,3028,2028,Protection_Habitation,Couples jeunes parents,2025-03-20,2025-03-20,audience_network,right_hand_column,3873,188,71.89,19,protection_habitation
1029,3029,2029,Leads_Immobilier,"Couples 30-40, Achat résidence",2025-04-02,2025-04-02,audience_network,feed,1949,116,246.78,29,leads_immobilier
1030,3030,2030,Pack_Jeunes,"Jeunes actifs, 25-30",2025-04-08,2025-04-08,audience_network,marketplace,4638,228,62.96,53,pack_jeunes
